FileName,AbEpiScore-1.0,AbEpiTarget-1.0
fold_20g7_seed11_model_0.cif,0.022333,0.292749
fold_20g7_seed11_model_1.cif,0.019624,0.318288
fold_20g7_seed11_model_2.cif,0.017437,0.22666
fold_20g7_seed11_model_3.cif,0.026651,0.316261
fold_20g7_seed11_model_4.cif,0.03659,0.339625
fold_20g7_seed12_model_0.cif,0.032682,0.371883
fold_20g7_seed12_model_1.cif,0.061736,0.380304
fold_20g7_seed12_model_2.cif,0.027782,0.410369
fold_20g7_seed12_model_3.cif,0.020794,0.345205
fold_20g7_seed12_model_4.cif,0.020387,0.364706
fold_20g7_seed13_model_0.cif,0.047282,0.294554
fold_20g7_seed13_model_1.cif,0.029899,0.314248
fold_20g7_seed13_model_2.cif,0.020217,0.287417
fold_20g7_seed13_model_3.cif,0.024459,0.311434
fold_20g7_seed13_model_4.cif,0.025516,0.336563
fold_20g7_seed14_model_0.cif,0.029836,0.355147
fold_20g7_seed14_model_1.cif,0.02048,0.255282
fold_20g7_seed14_model_2.cif,0.021109,0.303902
fold_20g7_seed14_model_3.cif,0.021073,0.292248
fold_20g7_seed14_model_4.cif,0.034598,0.349897
fold_20g7_seed15_model_0.cif,0.02093,0.372406
fold_20g7_seed15_model_1.cif,0.046355,0.382166
fold_20g7_seed15_model_2.cif,0.024982,0.317864
fold_20g7_seed15_model_3.cif,0.019865,0.358334
fold_20g7_seed15_model_4.cif,0.021088,0.331414
fold_20g7_seed16_model_0.cif,0.047126,0.344537
fold_20g7_seed16_model_1.cif,0.022338,0.273292
fold_20g7_seed16_model_2.cif,0.021074,0.237625
fold_20g7_seed16_model_3.cif,0.020336,0.300076
fold_20g7_seed16_model_4.cif,0.025161,0.313353
fold_20g7_seed17_model_0.cif,0.021794,0.325426
fold_20g7_seed17_model_1.cif,0.032415,0.31505
fold_20g7_seed17_model_2.cif,0.026904,0.313791
fold_20g7_seed17_model_3.cif,0.022014,0.315178
fold_20g7_seed17_model_4.cif,0.122664,0.373957
fold_20g7_seed18_model_0.cif,0.025377,0.29727
fold_20g7_seed18_model_1.cif,0.025138,0.300621
fold_20g7_seed18_model_2.cif,0.022234,0.297016
fold_20g7_seed18_model_3.cif,0.023928,0.304251
fold_20g7_seed18_model_4.cif,0.027908,0.308833
fold_20g7_seed19_model_0.cif,0.022175,0.267131
fold_20g7_seed19_model_1.cif,0.023156,0.313713
fold_20g7_seed19_model_2.cif,0.081183,0.345843
fold_20g7_seed19_model_3.cif,0.03424,0.29666
fold_20g7_seed19_model_4.cif,0.020797,0.23965
fold_20g7_seed20_model_0.cif,0.020017,0.308123
fold_20g7_seed20_model_1.cif,0.019552,0.326727
fold_20g7_seed20_model_2.cif,0.02307,0.275207
fold_20g7_seed20_model_3.cif,0.025699,0.323515
fold_20g7_seed20_model_4.cif,0.03677,0.422361
