FileName,AbEpiScore-1.0,AbEpiTarget-1.0
fold_9a9_seed2_model_2.cif,0.021598,0.309592
fold_9a9_seed10_model_3.cif,0.02177,0.326117
fold_9a9_seed1_model_2.cif,0.023044,0.327487
fold_9a9_seed5_model_2.cif,0.016942,0.233094
fold_9a9_seed10_model_2.cif,0.019995,0.254353
fold_9a9_seed9_model_0.cif,0.05871,0.401564
fold_9a9_seed5_model_3.cif,0.056625,0.362926
fold_9a9_seed9_model_2.cif,0.043632,0.411126
fold_9a9_seed1_model_4.cif,0.091978,0.453725
fold_9a9_seed7_model_3.cif,0.169304,0.400405
fold_9a9_seed2_model_0.cif,0.029342,0.377101
fold_9a9_seed10_model_0.cif,0.029455,0.388511
fold_9a9_seed5_model_4.cif,0.021473,0.351818
fold_9a9_seed8_model_3.cif,0.037301,0.372404
fold_9a9_seed3_model_1.cif,0.026241,0.350435
fold_9a9_seed6_model_4.cif,0.020764,0.330932
fold_9a9_seed7_model_4.cif,0.01972,0.303258
fold_9a9_seed1_model_3.cif,0.022518,0.341936
fold_9a9_seed4_model_2.cif,0.024359,0.378627
fold_9a9_seed1_model_1.cif,0.020965,0.30102
fold_9a9_seed4_model_4.cif,0.021264,0.3205
fold_9a9_seed10_model_1.cif,0.025142,0.348308
fold_9a9_seed1_model_0.cif,0.019194,0.270129
fold_9a9_seed8_model_4.cif,0.020585,0.288338
fold_9a9_seed2_model_1.cif,0.03128,0.362381
fold_9a9_seed2_model_4.cif,0.037202,0.37899
fold_9a9_seed9_model_1.cif,0.01839,0.299233
fold_9a9_seed9_model_3.cif,0.021929,0.362182
fold_9a9_seed10_model_4.cif,0.023805,0.348124
fold_9a9_seed6_model_3.cif,0.022688,0.31128
fold_9a9_seed3_model_0.cif,0.036081,0.369315
fold_9a9_seed4_model_3.cif,0.039759,0.363168
fold_9a9_seed4_model_1.cif,0.01927,0.296747
fold_9a9_seed4_model_0.cif,0.052086,0.436625
fold_9a9_seed3_model_2.cif,0.027544,0.39175
fold_9a9_seed5_model_0.cif,0.026232,0.376879
fold_9a9_seed2_model_3.cif,0.018217,0.248889
fold_9a9_seed8_model_2.cif,0.042155,0.400033
fold_9a9_seed6_model_1.cif,0.019614,0.249515
fold_9a9_seed8_model_0.cif,0.020217,0.296304
fold_9a9_seed7_model_2.cif,0.026739,0.345903
fold_9a9_seed3_model_4.cif,0.026975,0.331183
fold_9a9_seed5_model_1.cif,0.028603,0.391501
fold_9a9_seed7_model_1.cif,0.021672,0.285553
fold_9a9_seed6_model_0.cif,0.076586,0.442943
fold_9a9_seed9_model_4.cif,0.060271,0.373674
fold_9a9_seed7_model_0.cif,0.019716,0.276018
fold_9a9_seed3_model_3.cif,0.025421,0.352599
fold_9a9_seed8_model_1.cif,0.020688,0.329093
fold_9a9_seed6_model_2.cif,0.019697,0.306883
